ipa,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,front,round,velaric,tense,long,hitone,hireg,name
ɘ̤,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,
ɘ̤ː,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,
ɤ̤̥,+,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,
ɤ̤,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,
ɤ̤ː,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,+,-,-,-,+,+,-,-,
ɞ̤̥,+,+,-,+,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,
ɞ̤,+,+,-,+,-,-,-,-,+,+,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,
ɞ̤ː,+,+,-,+,-,-,-,-,+,+,-,-,-,-,+,-,-,-,-,+,-,-,+,-,-,
ɵ̤̥,+,+,-,+,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,+,-,+,-,-,-,
ɵ̤,+,+,-,+,-,-,-,-,+,+,-,-,-,-,+,-,-,-,-,+,-,+,-,-,-,
ɵ̤ː,+,+,-,+,-,-,-,-,+,+,-,-,-,-,+,-,-,-,-,+,-,+,+,-,-,
ɑ̤̥,+,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,+,-,-,-,+,-,-,-,
ɑ̤,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-,-,-,+,-,-,-,
ɑ̤ː,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-,-,-,+,+,-,-,
ɞ̤ˤ,+,+,-,+,-,-,-,-,+,+,-,-,-,-,+,-,+,+,-,+,-,-,-,-,-,
ɵ̤ˤ,+,+,-,+,-,-,-,-,+,+,-,-,-,-,+,-,+,+,-,+,-,+,-,-,-,
ɘ̤ˠ,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,+,-,+,-,-,-,+,-,-,-,
ʉ̤̥,+,+,-,+,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,+,-,+,-,-,-,
ʉ̤,+,+,-,+,-,-,-,-,+,+,-,-,-,-,+,+,-,-,-,+,-,+,-,-,-,
ʉ̤ː,+,+,-,+,-,-,-,-,+,+,-,-,-,-,+,+,-,-,-,+,-,+,+,-,-,
ɞ̤ˠ,+,+,-,+,-,-,-,-,+,+,-,-,-,-,+,+,-,+,-,+,-,-,-,-,-,
ɵ̤ˠ,+,+,-,+,-,-,-,-,+,+,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,
ɑ̤ˠ,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,+,+,+,-,-,-,+,-,-,-,
ʉ̤ˤ,+,+,-,+,-,-,-,-,+,+,-,-,-,-,+,+,+,+,-,+,-,+,-,-,-,
ɘ̃,+,+,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,
ɘ̃ː,+,+,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,
ɤ̃,+,+,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,
ɤ̃ː,+,+,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,+,+,-,-,
ɞ̃,+,+,-,+,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,
ɞ̃ː,+,+,-,+,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,+,-,-,+,-,-,
ɵ̃,+,+,-,+,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,+,-,+,-,-,-,
ɵ̃ː,+,+,-,+,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,+,-,+,+,-,-,
ɑ̃ˤ,+,+,-,+,-,-,+,-,+,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,-,
ɑ̃ː,+,+,-,+,-,-,+,-,+,-,-,-,-,-,-,-,+,+,-,-,-,+,+,-,-,
ɞ̃ˤ,+,+,-,+,-,-,+,-,+,-,-,-,-,-,+,-,+,+,-,+,-,-,-,-,-,
ɵ̃ˤ,+,+,-,+,-,-,+,-,+,-,-,-,-,-,+,-,+,+,-,+,-,+,-,-,-,
ʉ̃,+,+,-,+,-,-,+,-,+,-,-,-,-,-,+,+,-,-,-,+,-,+,-,-,-,
ʉ̃ː,+,+,-,+,-,-,+,-,+,-,-,-,-,-,+,+,-,-,-,+,-,+,+,-,-,
ʉ̃ˤ,+,+,-,+,-,-,+,-,+,-,-,-,-,-,+,+,+,+,-,+,-,+,-,-,-,
ɘ̰̃,+,+,-,+,-,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,
ɤ̰̃,+,+,-,+,-,-,+,-,+,-,+,-,-,-,-,-,-,+,-,-,-,+,-,-,-,
ɞ̰̃,+,+,-,+,-,-,+,-,+,-,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,
ɵ̰̃,+,+,-,+,-,-,+,-,+,-,+,-,-,-,+,-,-,-,-,+,-,+,-,-,-,
ɑ̰̃,+,+,-,+,-,-,+,-,+,-,+,-,-,-,-,-,+,+,-,-,-,+,-,-,-,
ʉ̰̃,+,+,-,+,-,-,+,-,+,-,+,-,-,-,+,+,-,-,-,+,-,+,-,-,-,
ɛ̥,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,
ɛ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,low-mid front unrounded vowel
ɛ̥ː,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,
ɛ̙ː,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,
e̥,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,
e,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,mid front unrounded vowel
eː,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,+,-,-,
e̘ː,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,+,-,-,
œ̥,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,
œ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,
œ̥ː,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,
ø̙ː,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,
ø̥,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,
ø,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,
ø̥ː,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,+,-,-,
ø̘ː,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,+,-,-,
ə̥,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,
ə,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,mid central vowel
ə̥ː,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,
ə̙ː,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,
ɜ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,mid central vowel
ʌ̥,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,
ʌ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,low central unrounded vowel
ɜ̥ː,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,
ɘ̘ː,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,+,+,-,-,
ɔ̥,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,
ɔ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,low mid-back rounded vowel
ɔ̥ː,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,+,-,-,
o̙ː,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,+,-,-,+,-,-,
o̥,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,+,-,-,-,
o,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,+,-,+,-,-,-,mid back rounded vowel
ɞ̥ː,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,+,+,-,-,
o̘ː,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,+,-,+,+,-,-,
ɻ̩,+,+,-,+,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
a̙,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,
a̙ː,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,-,+,-,-,-,+,-,-,
ḁ,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,+,-,-,-,
a,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,-,+,-,-,+,-,-,-,open front unrounded vowel
ḁː,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,+,+,-,-,
a̘ː,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,-,+,-,-,+,+,-,-,
ɶ̙,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,-,+,+,-,-,-,-,-,
ɶ̙ː,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,-,+,+,-,-,+,-,-,
ɶ̥,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,+,-,-,-,
ɶ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,-,+,+,-,+,-,-,-,
ɶ̥ː,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,+,+,-,-,
ɶ̘ː,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,-,+,+,-,+,+,-,-,
ɘ̥ˤ,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,
# əˤ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,
əːˤ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-,
ḁˤ,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,-,
# aˤ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,-,
aːˤ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,+,+,-,-,
œ̥ˤ,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,
œˤ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,
œːˤ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,+,-,-,+,-,-,
o̥ˤ,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,+,-,-,-,
ɒ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,+,-,+,-,-,-,low back rounded vowel
ɒ̥ː,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,+,+,-,-,
oːˤ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,+,-,+,+,-,-,
ɪ̥,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,
ɪ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,near-high front unrounded vowel
ɪ̥ː,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,-,
i̙ː,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,-,
i̥,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,+,-,-,-,
i,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,+,-,-,-,high front unrounded vowel 
i̥ː,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,+,+,-,-,
i̘ː,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,+,+,-,-,
ʏ̥,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,
ʏ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,
ʏ̥ː,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,+,-,-,+,-,-,
ʏ̙ː,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,+,+,-,-,+,-,-,
ʏ̘,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,
ʏ̘ː,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,+,+,-,+,+,-,-,
ɪ̥ˠ,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,
ɯ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,
ɯ̥ː,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,+,-,-,
ɨ̙ː,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,+,-,-,
e̥ˠ,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,+,-,-,-,
ɨ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-,-,+,-,-,-,
ɨ̥ː,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,+,+,-,-,
ɨ̘ː,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-,-,+,+,-,-,
œ̥ˠ,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,
ʊ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,near-high near-back rounded vowel
ʊ̥ː,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,+,-,-,+,-,-,
ʊ̙ː,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,+,-,-,+,-,-,
ø̥ˠ,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,+,-,+,-,-,-,
o̘ˠ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,+,-,+,-,-,-,
ʊ̘ː,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,+,-,+,+,-,-,
j̩,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,
ʏ˞,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,
e˞,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,
# ɘ˞,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,
ʌ˞,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,+,-,+,-,-,-,
ɚ,+,+,-,+,-,-,-,-,+,-,-,+,+,-,-,+,-,+,-,+,-,-,-,-,-,r-flavored vowel
ɝ,+,+,-,+,-,-,-,-,+,-,-,+,+,-,-,+,-,+,-,+,-,-,+,-,-,r-flavored vowel
y̙,+,+,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,-,+,+,-,-,-,-,-,
y̙ː,+,+,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,-,+,+,-,-,+,-,-,
y̥,+,+,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,+,-,+,-,-,-,
y,+,+,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,-,+,+,-,+,-,-,-,
y̥ː,+,+,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,+,-,+,+,-,-,
y̘ː,+,+,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,-,+,+,-,+,+,-,-,
y̙ˠ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,+,-,-,-,-,-,
u̙ː,+,+,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,+,-,-,+,-,-,
y̥ˠ,+,+,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,
u,+,+,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,high back rounded vowel
u̥ː,+,+,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,+,-,+,+,-,-,
u̘ː,+,+,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,+,-,-,
y˞,+,+,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,-,+,+,-,+,-,-,-,
ʍ̩,+,+,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,+,-,-,-,-,-,
w̩,+,+,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,+,-,-,-,-,-,
# u˞,+,+,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,
ɪ̥ˤ,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,
a̙ˠ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,
ɪːˤ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,
ḁˠ,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,-,
a̘ˠ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,-,
iːˤ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,+,+,-,-,-,+,+,-,-,
ʊ̥ˤ,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,
ɒ̙ˠ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,
ʊːˤ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,+,+,-,+,-,-,+,-,-,
ɒ̥ˠ,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,-,-,
ɒ̘ˠ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,+,+,-,+,-,+,-,-,-,
ɒːˠ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,+,+,-,+,-,+,+,-,-,
a˞,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,+,-,+,+,-,+,-,-,-,
ɒ˞,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,+,+,-,+,-,+,-,-,-,
u̥ˤ,+,+,-,+,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,+,-,+,-,-,-,
uˤ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,+,+,+,+,-,+,-,+,-,-,-,
uːˤ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,+,+,+,+,-,+,-,+,+,-,-,
ɛ̰,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,
ɛ̰ː,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-,
ḛ,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,
ḛː,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-,-,+,+,-,-,
œ̰,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,-,
œ̰ː,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,-,
ø̰,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,
ø̰ː,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,+,-,+,+,-,-,
ə̰,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,
ə̰ː,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,
ɜ̰,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,
ɜ̰ː,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,-,
ɔ̰,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,
ɔ̰ː,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,+,-,-,+,-,-,
ɞ̰,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,+,-,+,-,-,-,
o̰ː,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,+,-,+,+,-,-,
æ̰,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,+,-,+,-,-,+,-,-,-,
a̰ː,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,+,-,+,-,-,+,+,-,-,
ɶ̰,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,+,-,+,+,-,+,-,-,-,
ɶ̰ː,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,+,-,+,+,-,+,+,-,-,
ɘ̰ˤ,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,
a̰ˤ,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,-,-,+,-,-,-,
œ̰ˤ,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,+,-,-,-,-,-,
o̰ˤ,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,+,-,+,-,-,-,
ɒ̰ː,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,+,-,+,+,-,-,
ɪ̰,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,+,-,-,+,-,-,-,-,-,-,
ɪ̰ː,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,+,-,-,+,-,-,-,+,-,-,
ḭ,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,+,-,-,+,-,-,+,-,-,-,
ḭː,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,+,-,-,+,-,-,+,+,-,-,
ʏ̰,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,+,-,-,+,+,-,-,-,-,-,
ʏ̰ː,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,+,-,-,+,+,-,-,+,-,-,
ɪ̰ˠ,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,
ɯ̰ː,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,+,-,+,-,-,-,-,+,-,-,
ḛˠ,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,+,-,+,-,-,-,+,-,-,-,
ɨ̰ː,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,+,-,+,-,-,-,+,+,-,-,
œ̰ˠ,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,+,-,+,-,+,-,-,-,-,-,
ʊ̰ː,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,+,-,+,-,+,-,-,+,-,-,
o̰ˠ,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,+,-,+,-,+,-,+,-,-,-,
y̰,+,+,-,+,-,-,-,-,+,-,+,-,-,-,+,+,-,-,+,+,-,+,-,-,-,
y̰ː,+,+,-,+,-,-,-,-,+,-,+,-,-,-,+,+,-,-,+,+,-,+,+,-,-,
y̰ˠ,+,+,-,+,-,-,-,-,+,-,+,-,-,-,+,+,-,+,-,+,-,+,-,-,-,
ṵː,+,+,-,+,-,-,-,-,+,-,+,-,-,-,+,+,-,+,-,+,-,+,+,-,-,
ɪ̰ˤ,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,+,+,+,-,-,-,-,-,-,-,
a̰ˠ,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,+,+,+,-,-,-,+,-,-,-,
ʊ̰ˤ,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,+,+,+,-,+,-,-,-,-,-,
ɒ̰ˠ,+,+,-,+,-,-,-,-,+,-,+,-,-,-,-,+,+,+,-,+,-,+,-,-,-,
ṵˤ,+,+,-,+,-,-,-,-,+,-,+,-,-,-,+,+,+,+,-,+,-,+,-,-,-,
ɛ̤̥,+,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,
ɛ̤,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,
ɛ̤ː,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,
e̤̥,+,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,
e̤,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,
e̤ː,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,+,+,-,-,
œ̤̥,+,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,
œ̤,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,
œ̤ː,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,
ø̤̥,+,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,
ø̤,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,
ø̤ː,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,+,-,+,+,-,-,
ə̤̥,+,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,
ə̤,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,
ə̤ː,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,
ɜ̤̥,+,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,
